No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
3-B11	3-LR1	LR1-11	He tried again but received the same answer.	彼は再び試みましたが、同じ答えを受け取りました。	but		
3-B12	3-LR1	LR1-12	"After 10 days, Sugihara finally decided to help them."	10日後、杉原はついに彼らを助けることを決心しました。	decide to do		
3-B13	3-LR1	LR1-13	He told Yukiko that he was going to issue visas to the people.	彼は幸子に、人々にビザを発給するつもりだと伝えました。	tell O that S V	be going to do	
3-B14	3-LR1	LR1-14	"Yukiko knew the risks, but she agreed."	幸子はその危険性を知っていましたが、彼女は同意しました。	but		
3-B15	3-LR1	LR1-15	"“I'll support you,” she said to him."	「私があなたを支えます」と彼女は彼に言いました。	will (I'll)		
3-B16	3-LR1	LR1-16	"On July 29, he said to the people around his house, “You will all get your visas!"""	7月29日、彼は家の周りの人々に言いました、「あなた方は全員ビザを手に入れるでしょう！」	will		
3-B17	3-LR1	LR1-17	"There was a short silence, then a big cry of joy."	短い沈黙があり、それから大きな歓喜の叫び声がありました。	There was ~		
3-B18	3-LR1	LR1-18	"For the next 30 days, Sugihara wrote visas day and night."	次の30日間、杉原は昼も夜もビザを書き続けました。	day and night		
3-B19	3-LR1	LR1-19	He saw each family and wrote their names by hand.	彼はそれぞれの家族に会い、彼らの名前を手で書きました。	by hand		
3-B20	3-LR1	LR1-20	"He smiled and said, ""The world is like a big wheel."	彼は微笑んで言いました、「世界は大きな車輪のようなものだ。	like (前置詞)		
3-B21	3-LR1	LR1-21	We're all connected.	我々は皆つながっている。	受動態		
3-B22	3-LR1	LR1-22	We shouldn't fight each other.	互いに争うべきではない。	shouldn't	each other	
3-B23	3-LR1	LR1-23	We should join hands.	手を取り合うべきだ。	should	join hands	
3-B24	3-LR1	LR1-24	"Take care and good luck!"""	気をつけて、幸運を！」	命令文		
3-B25	3-LR1	LR1-25	"On August 27, he received a telegram from the Ministry, ""Close the office now and go to Berlin."""	8月27日、彼は省から電報を受け取りました、「今すぐオフィスを閉鎖し、ベルリンへ行け」。	命令文		
3-B26	3-LR1	LR1-26	"On September 4, Sugihara and his family had to leave for Berlin."	9月4日、杉原と彼の家族はベルリンへ出発しなければなりませんでした。	have to do		
3-B27	3-LR1	LR1-27	Some people followed them to the platform.	何人かの人々がプラットフォームまで彼らについてきました。			
3-B28	3-LR1	LR1-28	He continued to write visas even as he got on the train.	彼は電車に乗るときでさえ、ビザを書き続けました。	continue to do	even as ~	get on ~
3-B29	3-LR1	LR1-29	He handed them out through the window.	彼は窓からそれらを手渡しました。	hand out ~		
3-B30	3-LR1	LR1-30	The bell rang and the train started to move.	ベルが鳴り、電車が動き始めました。	start to do		
3-B31	3-LR1	LR1-31	"With tears in his eyes, Sugihara said, ""I cannot write anymore."	目に涙を浮かべながら、杉原は言いました、「もう書けません。	with A in B	cannot ~ anymore	
3-B32	3-LR1	LR1-32	Forgive me.	許してください。	命令文		
3-B33	3-LR1	LR1-33	"I will pray for your safety."""	あなた方の安全を祈ります」。	will		
3-B34	3-LR1	LR1-34	"One of them cried, ""Thank you, Mr. Sugihara."	彼らの一人が叫びました、「ありがとう、杉原さん。	One of ~		
3-B35	3-LR1	LR1-35	"We will never forget you."""	私たちは決してあなたを忘れません」。	will never ~		
3-B36	3-LR1	LR1-36	The war ended in 1945.	戦争は1945年に終わりました。			
3-B37	3-LR1	LR1-37	Sugihara returned to Japan and started working as a trader.	杉原は日本に戻り、貿易商として働き始めました。	start -ing		
3-B38	3-LR1	LR1-38	"Years later, in 1968, he received a phone call."	数年後の1968年、彼は一本の電話を受けました。			
3-B39	3-LR1	LR1-39	"It was from Mr. Nishri, an Israeli diplomat."	それはイスラエルの外交官、ニシュリ氏からでした。			
3-B40	3-LR1	LR1-40	Mr. Nishri met Sugihara and took out an old piece of paper.	ニシュリ氏は杉原に会い、古い一枚の紙を取り出しました。	take out ~	a piece of ~	
3-B41	3-LR1	LR1-41	It was a Sugihara visa.	それは杉原のビザでした。			
3-B42	3-LR1	LR1-42	"You won't remember me, but I have never forgotten you, he said."	「あなたは私を覚えていないでしょうが、私はあなたを決して忘れたことはありません」と彼は言いました。	won't (will not)	現在完了形(経験)	
3-B43	3-LR1	LR1-43	"Sugihara issued 2,139 visas to Jewish people in Lithuania."	"杉原はリトアニアでユダヤの人々に2,139通のビザを発給しました。"			
3-B44	3-LR1	LR1-44	"His actions saved more than 6,000 lives in total."	"彼の行動は、合計で6,000以上の命を救いました。"	more than ~		
3-C1	3-YC	YC-1	We need school uniforms.	私たちには制服が必要です。			
3-C2	3-YC	YC-2	Hi. I'm Tamara. I'm a junior high school student in the U.S.	こんにちは。タマラです。私はアメリカの中学生です。	be動詞(am)		
3-C3	3-YC	YC-3	I've seen Japanese school uniforms on the internet.	私はインターネットで日本の制服を見たことがあります。	現在完了形(経験)		
3-C4	3-YC	YC-4	They're really cute!	それらは本当にかわいいです！	be動詞(are)		
3-C5	3-YC	YC-5	I want a uniform like that for my school life.	私は学校生活のためにそのような制服が欲しいです。			
3-C6	3-YC	YC-6	They're convenient to wear every day.	それらは毎日着るのに便利です。	to不定詞(副詞的用法)		
3-C7	3-YC	YC-7	"They save time, too."	それらは時間も節約してくれます。	too		
3-C8	3-YC	YC-8	"Sometimes I like to choose my own clothes, but I think it's better for all of us to wear uniforms at school."	時々私は自分の服を選ぶのが好きですが、学校では私たち全員が制服を着る方が良いと思います。	like to do	It is ~ for A to do B	
3-C9	3-YC	YC-9	It's an attractive idea.	それは魅力的な考えです。	be動詞(is)		
3-C10	3-YC	YC-10	What do you think?	あなたはどう思いますか？	(意見を求める表現)		
3-C11	3-YC	YC-11	We need nap time.	私たちには昼寝の時間が必要です。			
3-C12	3-YC	YC-12	Hi. I'm Koji. I moved to Taiwan when I was ten years old.	こんにちは。コウジです。私は10歳の時に台湾に引っ越しました。	when (接続詞)		
3-C13	3-YC	YC-13	I've been here since then.	私はそれ以来ずっとここにいます。	現在完了形(継続)	since then	
3-C14	3-YC	YC-14	I've found some differences between schools in Taiwan and schools in Japan.	私は台湾の学校と日本の学校の間にいくつか違いを見つけました。	現在完了形(結果)	between A and B	
3-C15	3-YC	YC-15	"For example, in Taiwan, the students have a short sleep after lunch."	例えば、台湾では生徒たちは昼食後に短い睡眠をとります。	for example		
3-C16	3-YC	YC-16	They have to sleep about 15 to 20 minutes at their desk.	彼らは机で約15分から20分眠らなければなりません。	have to do		
3-C17	3-YC	YC-17	"It's called “nap time."""	それは「昼寝時間」と呼ばれています。	受動態	call A B (の受動態)	
3-C18	3-YC	YC-18	Our teacher tells us that nap time is important because it's really good for our health.	私たちの先生は、昼寝時間は私たちの健康に本当に良いので重要だと私たちに言います。	tell O that S V	be good for ~	
3-C19	3-YC	YC-19	I agree with him.	私は彼に賛成です。	agree with ~		
3-C20	3-YC	YC-20	Nap time helps me relax.	昼寝時間は私がリラックスするのを助けてくれます。	help O do		
3-C21	3-YC	YC-21	"I think Japanese students should have nap time after lunch, too."	日本の生徒も昼食後に昼寝時間を持つべきだと思います。	should		
3-C22	3-YC	YC-22	"However, some of my friends are against nap time because they want to play sports, read books, or use the internet."	しかし、私の友達の中には、スポーツをしたり、本を読んだり、インターネットを使いたかったりするので、昼寝時間に反対の人もいます。	be against ~	want to do	
3-C23	3-YC	YC-23	They think they don't need nap time.	彼らは昼寝時間は必要ないと思っています。	think (that) S V		
3-C24	3-YC	YC-24	What do you think?	あなたはどう思いますか？	(意見を求める表現)		
