No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
2-31	2-3	2-3-8	"Thanks. Kota, you made so much progress."	ありがとう。コウタ、君はすごく進歩したね。	make progress		
2-32	2-3	2-3-9	I always believed you could do it.	僕は君ならできるといつも信じていたよ。	always (頻度)	believe (that) S V	could
2-33	2-3	2-3-10	Practice makes perfect.	練習は完璧を生む。（習うより慣れよ）	(ことわざ)		
2-34	2-3	2-3-11	We're so proud of you all!	私たちは君たちみんなをとても誇りに思うわ！	be proud of ~	so (副詞)	
2-35	2-G	2-G-1	What do you want to do?	あなたは何がしたいですか？	疑問詞(What)	want to do	
2-36	2-G	2-G-2	Why do you want to do that?	なぜそれがしたいのですか？	疑問詞(Why)	want to do	
2-37	2-G	2-G-3	Let's dance!	踊りましょう！	Let's do		
2-38	2-G	2-G-4	Because I think doing exercise is important for us.	なぜなら、運動することは私たちにとって重要だと思うからです。	Because	think (that) S V	動名詞(主語)
2-39	2-DL	DL2-1	I don't like playing basketball.	私はバスケットボールをするのが好きではありません。	動名詞	like -ing	
2-40	2-DL	DL2-2	I'm not good at passing the ball.	私はボールをパスするのが得意ではありません。	be good at -ing		
2-41	2-DL	DL2-3	"For beginners, passing the ball isn't easy."	初心者にとって、ボールをパスすることは簡単ではありません。	動名詞(主語)		
2-42	2-DL	DL2-4	I like playing soccer.	私はサッカーをすることが好きです。	動名詞	like -ing	
2-43	2-DL	DL2-5	Playing soccer is fun.	サッカーをすることは楽しいです。	動名詞(主語)		
2-44	2-DL	DL2-6	My hobby is playing soccer.	私の趣味はサッカーをすることです。	動名詞(補語)		
2-45	2-DL	DL2-7	I am good at playing soccer.	私はサッカーをするのが得意です。	be good at -ing		
2-46	2-DL	DL2-8	It began raining.	雨が降り始めました。	動名詞		
2-47	2-DL	DL2-9	I enjoy swimming.	私は水泳を楽しみます。	動名詞		
2-48	2-DL	DL2-10	I finished reading the book.	私はその本を読み終えました。	動名詞		
2-49	2-AG	AG-1	Hajin wants to shoot.	ハジンはシュートを打ちたがっています。	不定詞(名詞的用法)		
2-50	2-AG	AG-2	I like to play soccer.	私はサッカーをすることが好きです。	不定詞(名詞的用法)	like to do	
2-51	2-AG	AG-3	To play soccer is fun.	サッカーをすることは楽しいです。	不定詞(名詞的用法/主語)		
2-52	2-AG	AG-4	My dream is to play soccer in Italy.	私の夢はイタリアでサッカーをすることです。	不定詞(名詞的用法/補語)		
2-53	2-AG	AG-5	It began to rain.	雨が降り始めました。	不定詞(名詞的用法)		
2-54	2-AG	AG-6	I hope to see you.	あなたに会えることを願っています。	不定詞(名詞的用法)		
2-55	2-AG	AG-7	I want to go on a trip.	私は旅行に行きたいです。	不定詞(名詞的用法)	go on a trip	
