No	Unit	label	English	Japanese	grammer1	grammer2	grammer3
1-54	1-G	1-G-16	"After that, we talked about the basketball tournament."	その後、私たちはバスケットボール大会について話した。	talk about ~		
1-55	1-G	1-G-17	"Hajin and I got excited, but Kota looked a little nervous."	ハジンと私はわくわくしたが、コウタは少し緊張しているように見えた。	get + 形容詞	look + 形容詞	a little
1-56	1-DL	DL1-1	Hello. This is Jack.	もしもし。ジャックです。	This is ~ (電話)		
1-57	1-DL	DL1-2	"Hi, Jack. What's up?"	やあ、ジャック。どうしたの？	What's up?		
1-58	1-DL	DL1-3	I want to go cycling next Sunday.	次の日曜日にサイクリングに行きたいんだ。	want to do	go -ing	
1-59	1-DL	DL1-4	Why don't you come with me?	僕と一緒に行かない？	Why don't you ~? (勧誘)		
1-60	1-DL	DL1-5	That sounds great. Sure.	それはいいね。もちろん。	sound + 形容詞		
1-61	1-DL	DL1-6	How about meeting at the station?	駅で会うのはどう？	How about -ing?		
1-62	1-DL	DL1-7	OK. What time do you want to meet?	いいよ。何時に会いたい？	疑問詞(What time)	want to do	
1-63	1-DL	DL1-8	Can you be there at one o'clock?	1時にそこに来られる？	Can you ~?		
1-64	1-DL	DL1-9	All right!	いいとも！	(応答)		
